cell_type_ontology_term_id,cell_type,count
CL:0000064,ciliated cell,179
CL:0002203,tuft cell of large intestine,175
CL:0000049,common myeloid progenitor,175
CL:0000453,Langerhans cell,175
CL:1000428,stem cell of epidermis,171
CL:1001285,vasa recta descending limb cell,167
CL:4023072,brain vascular cell,166
CL:0000164,enteroendocrine cell,161
CL:1000892,kidney capillary endothelial cell,161
CL:0000152,exocrine cell,157
CL:0002399,CD1c-positive myeloid dendritic cell,153
CL:0002259,neuroepithelial stem cell,151
CL:4023065,meis2 expressing cortical GABAergic cell,150
CL:1000343,paneth cell of epithelium of small intestine,148
CL:0002009,macrophage dendritic cell progenitor,148
CL:0000807,DN3 thymocyte,146
CL:0001050,"effector CD8-positive, alpha-beta T cell",129
CL:0002145,multiciliated columnar cell of tracheobronchial tree,127
CL:0000897,"CD4-positive, alpha-beta memory T cell",124
CL:0002554,fibroblast of lymphatic vessel,123
CL:1000510,kidney glomerular epithelial cell,117
CL:0000047,neural stem cell,97
CL:1000839,kidney proximal straight tubule epithelial cell,95
CL:1000491,mesothelial cell of pleura,92
CL:0000459,noradrenergic cell,91
CL:0000899,T-helper 17 cell,91
CL:0000081,blood cell,88
CL:0000914,immature NK T cell,84
CL:0010022,cardiac neuron,81
CL:0009086,endothelial cell of respiratory system lymphatic vessel,79
CL:0002332,multiciliated epithelial cell of the bronchus,77
CL:0001069,group 2 innate lymphoid cell,74
CL:0000319,mucus secreting cell,73
CL:0002046,early pro-B cell,72
CL:0000764,erythroid lineage cell,71
CL:0001044,"effector CD4-positive, alpha-beta T cell",58
CL:0009115,lymph node lymphatic vessel endothelial cell,52
CL:0000322,pulmonary alveolar epithelial cell,50
CL:0000165,neuroendocrine cell,48
CL:1000850,macula densa epithelial cell,46
CL:1001096,kidney afferent arteriole endothelial cell,36
CL:0000100,motor neuron,35
CL:0002633,respiratory basal cell,34
CL:0002193,myelocyte,32
CL:4033043,lung interstitial macrophage,31
CL:1000692,kidney interstitial fibroblast,16
CL:0000841,mature conventional dendritic cell,14
CL:0000838,lymphoid lineage restricted progenitor cell,13
CL:1000223,pulmonary neuroendocrine cell,8
CL:4033056,onychocyte,5
CL:1000497,kidney cell,3
CL:0000068,duct epithelial cell,2
